Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
GA-297,Walton County,68.63,123,18.28,50.35
GA-299,Ware County,49.22,67,0.1,49.12
GA-301,Warren County,52.31,95,5.03,47.28
GA-303,Washington County,53.43,105,7.22,46.21
GA-305,Wayne County,53.03,88,3.63,49.4
GA-307,Webster County,59.33,108,9.79,49.54
GA-309,Wheeler County,59.38,117,12.73,46.65
GA-311,White County,91.95,124,28.13,63.82
GA-313,Whitfield County,70.64,121,17.1,53.54
GA-315,Wilcox County,60.31,118,13.08,47.23
GA-317,Wilkes County,53.3,97,5.47,47.83
GA-319,Wilkinson County,54.36,107,8.18,46.18
GA-321,Worth County,60.33,118,12,48.33
ID-001,Ada County,10,29,-2.33,12.33
ID-003,Adams County,26.35,24,-6.07,32.42
ID-005,Bannock County,14.94,25,-4.56,19.5
ID-007,Bear Lake County,18.04,28,-3.37,21.41
ID-009,Benewah County,30.78,58,-0.52,31.3
ID-011,Bingham County,13.05,57,-0.44,13.49
ID-013,Blaine County,15.12,26,-3.67,18.79
ID-015,Boise County,23.97,17,-6.57,30.54
ID-017,Bonner County,33.43,49,-2.4,35.83
ID-019,Bonneville County,21.57,73,1.24,20.33
ID-021,Boundary County,36.43,52,-1.54,37.97
ID-023,Butte County,12.6,57,-0.98,13.58
ID-025,Camas County,17.41,12,-6.97,24.38
ID-027,Canyon County,7.53,22,-2.02,9.55
ID-029,Caribou County,19.57,35,-2.84,22.41
ID-031,Cassia County,14.05,48,-1.46,15.51
ID-033,Clark County,16.58,63,-0.53,17.11
ID-035,Clearwater County,46.99,66,0.29,46.7
ID-037,Custer County,19.19,32,-3.36,22.55
ID-039,Elmore County,15.86,22,-4.3,20.16
ID-041,Franklin County,16.97,10,-6.07,23.04
ID-043,Fremont County,22.19,71,0.52,21.67
ID-045,Gem County,14.19,12,-4.59,18.78
ID-047,Gooding County,8.57,17,-2.6,11.17
ID-049,Idaho County,39.35,86,1.84,37.51
ID-051,Jefferson County,10.55,80,0.86,9.69
ID-053,Jerome County,8.69,45,-1.02,9.71
ID-055,Kootenai County,29.73,39,-2.51,32.24
