"YEAR","CASES","STATEFP","STNAME","POP","RATE"
2009,5,"31","Nebraska",1812683,0.275834219220901
2009,13,"32","Nevada",2684665,0.484231738410565
2009,1415,"33","New Hampshire",1316102,107.514463164709
2009,4973,"34","New Jersey",8755602,56.797922061784
2009,5,"35","New Mexico",2036802,0.245482869714386
2009,5651,"36","New York",19307066,29.269076927587
2009,96,"37","North Carolina",9449566,1.01591967292466
2009,15,"38","North Dakota",664968,2.25574764499946
2009,58,"39","Ohio",11528896,0.503083729786443
2009,2,"40","Oklahoma",3717572,0.0537985545404366
2009,38,"41","Oregon",3808600,0.997741952423463
2009,5722,"42","Pennsylvania",12666858,45.1730018604456
2009,235,"44","Rhode Island",1053646,22.3035061111607
2009,42,"45","South Carolina",4589872,0.915058197701374
2009,1,"46","South Dakota",807067,0.123905450229039
2009,37,"47","Tennessee",6306019,0.58674101679681
2009,276,"48","Texas",24801761,1.11282420631341
2009,9,"49","Utah",2723421,0.330466718146038
2009,408,"50","Vermont",624817,65.2991195822137
2009,908,"51","Virginia",7925937,11.4560587599927
2009,16,"53","Washington",6667426,0.239972667113216
2009,201,"54","West Virginia",1847775,10.8779478020863
2009,2589,"55","Wisconsin",5669264,45.6673035512193
2009,3,"56","Wyoming",559851,0.535856861915045
2010,2,"01","Alabama",4785437,0.0417934663020326
2010,7,"02","Alaska",713910,0.980515751285176
2010,2,"04","Arizona",6407172,0.0312150196685839
2010,0,"05","Arkansas",2921964,0
2010,129,"06","California",37319502,0.345663776542356
2010,3,"08","Colorado",5047349,0.059437142151256
2010,3068,"09","Connecticut",3579114,85.7195384109028
2010,656,"10","Delaware",899593,72.9218657770792
2010,42,"11","District of Columbia",605226,6.93955646320548
2010,84,"12","Florida",18845537,0.44572887469325
2010,10,"13","Georgia",9711881,0.102966665262888
2010,0,"15","Hawaii",1363963,0
2010,9,"16","Idaho",1570746,0.572976152732523
2010,135,"17","Illinois",12840503,1.05136068267731
2010,78,"18","Indiana",6490432,1.20176900397385
2010,85,"19","Iowa",3050745,2.78620468115165
2010,10,"20","Kansas",2858190,0.349871771995564
2010,5,"21","Kentucky",4348181,0.114990613316235
2010,3,"22","Louisiana",4544532,0.0660133980792742
2010,751,"23","Maine",1327629,56.5670078011252
2010,1617,"24","Maryland",5788645,27.9339983709486
2010,3263,"25","Massachusetts",6566307,49.6930770979791
2010,95,"26","Michigan",9877510,0.961780853676686
2010,1960,"27","Minnesota",5310828,36.9057329666862
2010,0,"28","Mississippi",2970548,0
2010,4,"29","Missouri",5995974,0.066711430036221
2010,4,"30","Montana",990697,0.403756143402069
2010,8,"31","Nebraska",1829542,0.437267906394059
2010,2,"32","Nevada",2702405,0.0740081519979426
2010,1339,"33","New Hampshire",1316762,101.688839744768
2010,3712,"34","New Jersey",8799446,42.1844738861969
2010,5,"35","New Mexico",2064552,0.2421832920653
2010,3425,"36","New York",19399878,17.6547501999755
2010,82,"37","North Carolina",9574323,0.856457422629255
2010,33,"38","North Dakota",674715,4.89095395833797
2010,44,"39","Ohio",11539336,0.381304435541178
2010,0,"40","Oklahoma",3759944,0
2010,39,"41","Oregon",3837491,1.01628902843029
2010,3805,"42","Pennsylvania",12711160,29.9343254274197
2010,181,"44","Rhode Island",1053959,17.1733435551098
2010,29,"45","South Carolina",4635649,0.625586622283093
2010,1,"46","South Dakota",816166,0.122524094363157
2010,36,"47","Tennessee",6355311,0.566455363081366
2010,142,"48","Texas",25241971,0.562555119011903
2010,3,"49","Utah",2775332,0.108095175640248
2010,356,"50","Vermont",625879,56.8800039624272
